NM_MUNICIPIO,DS_CARGO,NR_VOTAVEL,NM_URNA_CANDIDATO,QT_VOTOS_NOMINAIS
CUIABA,Vereador,20010,GUILHERME VINICIUS FERREIRA DE OLIVEIRA,340
CUIABA,Vereador,20015,JOANA DARC DE AMORIM NASCIMENTO,166
CUIABA,Vereador,20020,WALTER LUIS DA SILVA MATOS,504
CUIABA,Vereador,20044,MARCIO RODRIGUES DA COSTA,183
CUIABA,Vereador,20100,RENILDO SOARES DE FRANÃA,1044
CUIABA,Vereador,20120,ARIOVALDO MUNDIM,475
CUIABA,Vereador,20123,EDILSON ODILON DA SILVA,2896
CUIABA,Vereador,20190,NELSON JOSÃ DA SILVA JUNIOR,945
CUIABA,Vereador,20198,ROSANA SELMA DA SILVA,39
CUIABA,Vereador,20200,EDEMIR CLAUDIO XAVIER,1856
CUIABA,Vereador,20222,STEPHANIE ROSA JACOMO,138
CUIABA,Vereador,20300,ELIAMARA ZEFERINI DE ARAUJO,3500
CUIABA,Vereador,20321,KLLAUS CESAR SOUZA DOS SANTOS,456
CUIABA,Vereador,20333,VICENTE VUOLO,363
CUIABA,Vereador,20444,MARCIO SOUZA SANTANA,297
CUIABA,Vereador,20456,EMANUELE PINHEIRO MONTEIRO,122
CUIABA,Vereador,20500,BARBARA ANDREYA HIDALGO REIS RODRIGUES SILVA,79
CUIABA,Vereador,20555,CESAR LIMA DO NASCIMENTO,197
CUIABA,Vereador,20600,MARCILENE SILVA SANTANA,33
CUIABA,Vereador,20650,RODRIGO ROCHA SCHMITZ,97
CUIABA,Vereador,20666,JOEDER SILVA BARBALHO,286
CUIABA,Vereador,20700,ANGELO MARCIO DELLA ROVERE,1840
CUIABA,Vereador,20777,BARBARA SANTOS DUTRA SILVA,415
CUIABA,Vereador,20789,KASSIO EDUARDO DA SILVA COELHO,3262
CUIABA,Vereador,20800,JENNIFER DANIELE DA SILVA MEZZOMO,117
CUIABA,Vereador,20888,OSCARLINO ALVES DE ARRUDA JUNIOR,755
CUIABA,Vereador,20999,ANDRE CRISTHIANO OLIVEIRA DA SILVA,816
CUIABA,Vereador,22000,FELLIPE PEREIRA CORREA,1662
CUIABA,Vereador,22001,ERIKA FIGUEIREDO SOUZA GAMA,113
CUIABA,Vereador,22002,ANDRICO MORAES XAVIER,364
CUIABA,Vereador,22007,EMANUEL ALMEIDA LIBOS DAUBIAN,454
CUIABA,Vereador,22022,ADMILSON CARDOSO SIMOES,810
CUIABA,Vereador,22065,LEANDRO RODRIGO FIGUEIREDO DE OLIVEIRA,1075
CUIABA,Vereador,22077,PAULO JOSE SIQUEIRA RIBEIRO,311
CUIABA,Vereador,22100,ADAVILSO AZEVEDO DA COSTA,282
CUIABA,Vereador,22122,HUDSON EDWARD PINHEIRO,506
CUIABA,Vereador,22123,FRANCISCO CARLOS AMORIM SILVEIRA,3098
CUIABA,Vereador,22145,MARCELO CRAICI,22
CUIABA,Vereador,22190,ELI CARLOS OLIVEIRA ARAUJO,733
CUIABA,Vereador,22200,MARINA FIGUEIREDO REIS,524
CUIABA,Vereador,22222,RAFAEL BEAL RANALLI,3360
CUIABA,Vereador,22227,ROBERTO CESAR DA SILVA,262
CUIABA,Vereador,22300,SAMANTHA IRIS BELARMINO CRISTOVAO,7460
CUIABA,Vereador,22321,DANIEL ROBERTO DA SILVA,475
CUIABA,Vereador,22333,MARIA FRANCISCA SILVA,164
CUIABA,Vereador,22345,MARIA JOSÃ DE OLIVEIRA ARRUDA,216
CUIABA,Vereador,22444,PAULA PINTO CALIL,5460
CUIABA,Vereador,22456,JOAQUIM VALADARES LIRA JUNIOR,101
CUIABA,Vereador,22500,MARTA FERREIRA,71
CUIABA,Vereador,22555,DANIEL LUIS PADILHA E SILVA,737
CUIABA,Vereador,22700,RODRIGO GUILHERME DO CARMO DA SILVA SOUZA,280
CUIABA,Vereador,22722,RAFAEL DA SILVA YONEKUBO,1158
CUIABA,Vereador,22772,MARIANA STAPHANY RIBEIRO CARVALHO CRAUS,216
CUIABA,Vereador,22777,RAQUEL SOUZA MACIEL GRIGOLETO,128
CUIABA,Vereador,22822,ANDREA APARECIDA LUZ DE ALMEIDA BARROS,204
CUIABA,Vereador,23000,JOAO ADEVILSON DE SOUZA,1302
