NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
RIO DE JANEIRO,Vereador,12456,POLLYANNA PERITA SCUDERIE,12,PDT,63
RIO DE JANEIRO,Vereador,12550,BETO LOBAO,12,PDT,284
RIO DE JANEIRO,Vereador,12555,CARLOS FERREIRA,12,PDT,341
RIO DE JANEIRO,Vereador,12612,DR SERGIO MOTA,12,PDT,330
RIO DE JANEIRO,Vereador,12742,RICARDO DAMIAO,12,PDT,757
RIO DE JANEIRO,Vereador,12777,WELINGTON DIAS,12,PDT,20147
RIO DE JANEIRO,Vereador,12778,WILSON DO HOSPITAL,12,PDT,234
RIO DE JANEIRO,Vereador,12800,MARCELO MANHAES,12,PDT,3917
RIO DE JANEIRO,Vereador,12888,DEISE MENEZES,12,PDT,633
RIO DE JANEIRO,Vereador,12910,ADILSON TAIPAN,12,PDT,756
RIO DE JANEIRO,Vereador,12999,LIS SALGUEIRO,12,PDT,107
RIO DE JANEIRO,Vereador,13000,RODRIGO MONDEGO,13,PT,4992
RIO DE JANEIRO,Vereador,13007,ANA CLÃUDIA,13,PT,247
RIO DE JANEIRO,Vereador,13011,ADELSON GUEDES,13,PT,1568
RIO DE JANEIRO,Vereador,13012,LEONEL DE ESQUERDA,13,PT,13325
RIO DE JANEIRO,Vereador,13013,JP FARELLI,13,PT,943
RIO DE JANEIRO,Vereador,13021,TIAGO SANTANA,13,PT,8763
RIO DE JANEIRO,Vereador,13029,MÃE DAYSE,13,PT,140
RIO DE JANEIRO,Vereador,13031,DANI NUNES,13,PT,697
RIO DE JANEIRO,Vereador,13065,LICO,13,PT,111
RIO DE JANEIRO,Vereador,13091,DJ BRANDON LEE,13,PT,53
RIO DE JANEIRO,Vereador,13100,ENFERMEIRA LÃBIA,13,PT,2053
RIO DE JANEIRO,Vereador,13111,PAULO GANGA,13,PT,180
RIO DE JANEIRO,Vereador,13113,PROFESSORA FÃTIMA LIMA,13,PT,4940
RIO DE JANEIRO,Vereador,13123,SANDRÃO DA CUT,13,PT,3844
RIO DE JANEIRO,Vereador,13131,JUNIOR MANGUEIRA,13,PT,7677
RIO DE JANEIRO,Vereador,13133,EDUARDO COELHO,13,PT,241
RIO DE JANEIRO,Vereador,13137,CAMILA PEÃANHA,13,PT,304
