NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
SAO LUIS,Vereador,11193,MAJOR SANDRA RAQUEL,11,PP,129
SAO LUIS,Vereador,11222,ANDRE CAMPOS,11,PP,6527
SAO LUIS,Vereador,11223,IRAPUÃ,11,PP,1023
SAO LUIS,Vereador,11232,PAULINHO CELULAR,11,PP,607
SAO LUIS,Vereador,11233,CADILHE,11,PP,95
SAO LUIS,Vereador,11234,EDILSON DA PADARIA,11,PP,617
SAO LUIS,Vereador,11321,JULIA DO BOI,11,PP,249
SAO LUIS,Vereador,11331,NEUZA MENDES,11,PP,106
SAO LUIS,Vereador,11333,ANTONIO GARCEZ,11,PP,7190
SAO LUIS,Vereador,11345,JOHN RIBEIRO,11,PP,1291
SAO LUIS,Vereador,11369,MARINALVA ROSA AÃÃO POPULAR,11,PP,227
SAO LUIS,Vereador,11391,MAGNO COLET. BOMBEIROS MILITAR,11,PP,717
SAO LUIS,Vereador,11400,TATI PEREIRA,11,PP,1778
SAO LUIS,Vereador,11444,BERNARDO PEREIRA,11,PP,2656
SAO LUIS,Vereador,11456,KARINA DA DINDAS,11,PP,1114
SAO LUIS,Vereador,11500,GOUVEIA,11,PP,303
SAO LUIS,Vereador,11555,EDSON GAGUINHO,11,PP,10355
SAO LUIS,Vereador,11567,WESLEY SOARES,11,PP,137
SAO LUIS,Vereador,11568,GRAÃA DA ALEMANHA,11,PP,68
SAO LUIS,Vereador,11610,CARLINHOS LIMA,11,PP,402
SAO LUIS,Vereador,11615,ALENCAR GOMES,11,PP,6
SAO LUIS,Vereador,11777,IEDA MARIA,11,PP,175
SAO LUIS,Vereador,11888,DENNISON SODRÃ COLET. SERVIDOR,11,PP,322
SAO LUIS,Vereador,11999,HALICE FIGUEIREDO,11,PP,2052
SAO LUIS,Vereador,12000,CHARLES DOS CARRINHOS,12,PDT,655
SAO LUIS,Vereador,12010,ENOCH ALVES,12,PDT,2
SAO LUIS,Vereador,12012,RAIMUNDO PENHA,12,PDT,5768
SAO LUIS,Vereador,12021,WENNDER ROCHA,12,PDT,1718
SAO LUIS,Vereador,12100,ENF JOSE CARLOS,12,PDT,1196
SAO LUIS,Vereador,12121,CILENE COLETIVO VOZ,12,PDT,696
SAO LUIS,Vereador,12123,PROFESSOR CARLINHOS,12,PDT,939
SAO LUIS,Vereador,12124,MARINILDES MARTINS,12,PDT,228
SAO LUIS,Vereador,12131,JANNE SANTOS,12,PDT,64
SAO LUIS,Vereador,12133,DO CARMO,12,PDT,959
SAO LUIS,Vereador,12200,DANIELLA ARRAES,12,PDT,114
SAO LUIS,Vereador,12212,CONCILIADORA,12,PDT,18
SAO LUIS,Vereador,12222,JUNIOR MENDES,12,PDT,603
SAO LUIS,Vereador,12244,PROFESSOR WALLACE,12,PDT,73
SAO LUIS,Vereador,12300,MAGNÃLIA,12,PDT,124
SAO LUIS,Vereador,12312,DENISE DUARTE,12,PDT,239
SAO LUIS,Vereador,12333,LULU TIBIRI,12,PDT,1238
SAO LUIS,Vereador,12344,NONATO GUTEMBERG,12,PDT,770
SAO LUIS,Vereador,12345,NIVAL COSTA,12,PDT,400
