NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
CURITIBA,Vereador,11474,CLAUDETE,11,PP,343
CURITIBA,Vereador,11500,GRAZI ABDALLA,11,PP,187
CURITIBA,Vereador,11511,LÃRENS NOGUEIRA,11,PP,4727
CURITIBA,Vereador,11538,AIRTON JUNIOR,11,PP,295
CURITIBA,Vereador,11555,RICARDO DIAS,11,PP,3489
CURITIBA,Vereador,11600,PROTETORA MONIQUE SOCZEK,11,PP,481
CURITIBA,Vereador,11611,RICARDO JABUTICABA,11,PP,177
CURITIBA,Vereador,11700,BRYAN TAVARES,11,PP,510
CURITIBA,Vereador,11711,LUCIANE ZAIMOSKI,11,PP,427
CURITIBA,Vereador,11741,MÃE PATRICIA,11,PP,200
CURITIBA,Vereador,11777,OSCALINO DO POVO,11,PP,3735
CURITIBA,Vereador,11888,THADEU VERMELHO,11,PP,2899
CURITIBA,Vereador,11900,ROGÃRIO CAMPOS,11,PP,3251
CURITIBA,Vereador,11999,ALEXANDRE ROLLER,11,PP,1046
CURITIBA,Vereador,12000,LUAN AZEVEDO,12,PDT,733
CURITIBA,Vereador,12007,PROFESSOR EVERTON,12,PDT,1606
CURITIBA,Vereador,12012,LAÃS LEÃO,12,PDT,6954
CURITIBA,Vereador,12013,WAGNER BITENCOURT,12,PDT,359
CURITIBA,Vereador,12017,ILZA MARIA,12,PDT,20
CURITIBA,Vereador,12025,LUCIANO ANDRADE,12,PDT,142
CURITIBA,Vereador,12041,CRISTIANO DIONÃSIO,12,PDT,1486
CURITIBA,Vereador,12050,MARCELO J,12,PDT,321
CURITIBA,Vereador,12108,BERNADETE BRANDÃO,12,PDT,886
CURITIBA,Vereador,12111,MÃRCIA P. SANTOS,12,PDT,55
CURITIBA,Vereador,12120,MENTHOR DA CIC,12,PDT,282
CURITIBA,Vereador,12121,PROFESSOR MOZART,12,PDT,2092
CURITIBA,Vereador,12122,HUMBERTO PACHECO,12,PDT,205
CURITIBA,Vereador,12123,JEFFERSON MAFRA,12,PDT,297
CURITIBA,Vereador,12156,DIEGO WERNER,12,PDT,674
CURITIBA,Vereador,12160,MADE SANTOS,12,PDT,38
CURITIBA,Vereador,12222,CARINE PIASSETTA,12,PDT,391
CURITIBA,Vereador,12223,CICLISTA WENCESLAU,12,PDT,114
CURITIBA,Vereador,12300,FREDY FERREIRA,12,PDT,598
CURITIBA,Vereador,12321,PAOLA REIS,12,PDT,98
CURITIBA,Vereador,12333,ENFERMEIRO FABIO GASPAR,12,PDT,776
CURITIBA,Vereador,12345,MARCOS VIEIRA,12,PDT,10405
CURITIBA,Vereador,12347,MARCOS COSTA,12,PDT,133
CURITIBA,Vereador,12355,DIOMAR,12,PDT,41
CURITIBA,Vereador,12371,HOMEM ARANHA DA XV,12,PDT,67
CURITIBA,Vereador,12392,O JOVEM,12,PDT,259
CURITIBA,Vereador,12500,ALMEIDA SOBRINHO,12,PDT,78
CURITIBA,Vereador,12508,SILVÃRIO,12,PDT,80
