NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
FLORIANOPOLIS,Vereador,12777,DALTON,12,PDT,142
FLORIANOPOLIS,Vereador,12874,VALTER COSTA (TICO),12,PDT,359
FLORIANOPOLIS,Vereador,12888,MARIA DA GRAÃA,12,PDT,430
FLORIANOPOLIS,Vereador,12999,PAULINHO SOUZA,12,PDT,52
FLORIANOPOLIS,Vereador,13000,VANIO DOS SANTOS,13,PT,1360
FLORIANOPOLIS,Vereador,13003,LIROUS K YO,13,PT,316
FLORIANOPOLIS,Vereador,13004,JOÃO DE PAULA COLETIVA PCD,13,PT,251
FLORIANOPOLIS,Vereador,13007,ANDHER VILIAN,13,PT,88
FLORIANOPOLIS,Vereador,13013,ELENIRA E COLETIVA POPULAR,13,PT,1277
FLORIANOPOLIS,Vereador,13031,PROFESSOR JOSEMIR,13,PT,322
FLORIANOPOLIS,Vereador,13044,CARLA AYRES,13,PT,5743
FLORIANOPOLIS,Vereador,13048,PROFESSOR PAULO HORTA,13,PT,1774
FLORIANOPOLIS,Vereador,13111,ALÃSIO O BRUXO DAS PLANTAS,13,PT,1245
FLORIANOPOLIS,Vereador,13123,PROFESSOR CADU,13,PT,2178
FLORIANOPOLIS,Vereador,13131,VITOR SILVEIRA,13,PT,1039
FLORIANOPOLIS,Vereador,13192,IGOR CHAVES MÃDICO DE FAMÃLIA,13,PT,1074
FLORIANOPOLIS,Vereador,13333,PROFESSOR BRUNO,13,PT,2235
FLORIANOPOLIS,Vereador,13401,PROFESSORA MARI E A COLETIVA,13,PT,118
FLORIANOPOLIS,Vereador,13456,LEDA PROFESSORA,13,PT,272
FLORIANOPOLIS,Vereador,13500,LIDO,13,PT,354
FLORIANOPOLIS,Vereador,13613,RUY WOLFF,13,PT,598
FLORIANOPOLIS,Vereador,13690,BIA VARGAS,13,PT,2041
FLORIANOPOLIS,Vereador,15000,MARCELINO DUTRA,15,MDB,2372
